SUB-INTINERÁRIO|SEQ
034_010|003
034_010|004
034_010|015
034_010|018
034_010|030
034_010|041
034_012|007
034_012|016
034_012|026
034_012|044
034_012|045
034_012|046
034_012|047
034_012|048
034_012|049
034_012|050
034_012|051
034_012|053
034_013|022
034_013|031
034_014|020
034_014|023
034_016|002
034_016|039
034_017|006
034_017|009
034_019|034
034_019|036
034_020|001
034_020|019
034_020|024
034_020|027
034_021|037
034_022|005
034_022|038
034_022|040
034_022|043
034_023|029
034_024|035
034_025|011
034_025|025
034_025|032
034_025|033
034_026|012
